COMMODITY | SYS-22672217-1   | 10/- Samosa
COMMODITY |                  | Sunder good morning toast 10/- Carton
BARCODE   | 8904270007917    | Sunder Khara 500g
BARCODE   | 8906152260038    | Sunder Wiggly
BARCODE   | 8901725018016    | Sunfeast Yippee 10/-
BARCODE   | 8901725113490    | sunfest 5/-
BARCODE   | 8908000502970    | Sunpure Sugar
BARCODE   | 8909106023741    | Sunsilk 80ml
BARCODE   | 8909106047082    | Sunsilk Shampoo 1/-
BARCODE   | 8909106023789    | Sunsilk Shampoo 650 ml
COMMODITY | SYS-22656303-1   | Supari Chaliya
BARCODE   | 8908001616645    | Super star bar ₹10
BARCODE   | 8909106047198    | Surf excel  bAr ₹10
BARCODE   | 4909200404068    | Surf Excel ₹35
BARCODE   | 8909106074125    | Surf Excel 10/-
BARCODE   | 8909106006478    | Surf Excel 1kg
BARCODE   | 8909106050419    | Surf excel matic 1L
BARCODE   | 8909106006485    | Surf Excel Quick Wash 500g
COMMODITY | SYS-22684499-1   | T Dal 2
COMMODITY |                  | T Dal Kandi Pappu
BARCODE   | 8904004407471    | Taka taka green
COMMODITY | SYS-22728680-1   | Tarbuj Bhij Big
COMMODITY | SYS-22726035-1   | Tarbuj Bhij Small
BARCODE   | 8901052003822    | Tata Agni Tea
BARCODE   | 8901052034482    | Tata Agni Tea 100g
COMMODITY |                  | Tata Agni Tea Sheet
BARCODE   | 8901052020409    | tata Chakra gold 250g
BARCODE   | 8901052003693    | Tata gold ,250g
COMMODITY |                  | Tata I Shakti Bag
BARCODE   | 8904043921013    | Tata I Shakti Salt
BARCODE   | 8904043901015    | Tata Salt 1 kg
BARCODE   | 8904043926612    | TATA Salt Himalayan Rock Salt 1 kg
BARCODE   | 8901052021284    | tata tea gemini 500g
COMMODITY | SYS-22743815-1   | Testing Salt
COMMODITY | SYS-22703802-1   | Thine Soda
BARCODE   | 4902430907712    | Tide 1kg
BARCODE   | 4987176057396    | Tide 1kg green
BARCODE   | 4987176373281    | Tide Orange 1kg
BARCODE   | 4987176373403    | Tide Powder 10/-
BARCODE   | 4987176396211    | Tide power gel 1kg
BARCODE   | 8902089201021    | Til Sona 50ml
BARCODE   | 8902089201038    | Til Sona Oil 100ml
BARCODE   | 8902089201199    | Til Sona Oil 175ml
COMMODITY | SYS-22724318-1   | Tilli
COMMODITY | SYS-22304622-1   | Tirumala Papad
COMMODITY |                  | Tirumala Papad Pudha
BARCODE   | 8906081380036    | Tomato Pickle 10/-
BARCODE   | 8908016986016    | Top Cook Gold Salt 1 kg
BARCODE   | 8908016986030    | Top Cook Mota Salt 1kg
COMMODITY |                  | Top Cook Salt 1kg Bag
BARCODE   | 8901647362310    | Total
BARCODE   | 8909106085268    | Tresemme Shampoo 2/-
BARCODE   | 8931226500499    | Udayam Dhaniya Powder 500g
BARCODE   | 8931226500420    | Udhayam 100g
BARCODE   | 8931226500468    | Udhayam Tumeric Powder500g
COMMODITY | SYS-22645250-1   | Udhyam 50g
BARCODE   | 8902102194934    | Ujala
BARCODE   | 8902102126980    | Ujala supreme75ml
BARCODE   | 8906007600880    | Ullas Agarbatti
COMMODITY | SYS-22656409-1   | Urad Dal
COMMODITY | SYS-22349888-1   | Vaseline ₹5
BARCODE   | 8901247571211    | Vasmol33
BARCODE   | 8901207038464    | Vatika 80ml
BARCODE   | 8901396601784    | Veet 30g
BARCODE   | 4987176385611    | Vicks Drops Jar
BARCODE   | 4987176191359    | Vicks Inhaler
BARCODE   | 4987176191205    | Vicks VapoRub
COMMODITY | SYS-22656100-1   | Vicks VapoRub23/-
BARCODE   | 8909106092563    | Vim 10/-
BARCODE   | 8909106017993    | Vim 250ml
BARCODE   | 8901030535697    | Vim bar ₹10
BARCODE   | 8909106083691    | Vim Bar 480g
BARCODE   | 8909106088771    | Vim Soap 68 g
COMMODITY | SYS-22653004-1   | WC Dal
COMMODITY | SYS-22647906-1   | Wheat
BARCODE   | 8901030997778    | Wheel 1kg Surf
BARCODE   | 8901030997723    | Wheel Powder, 500g
BARCODE   | 4987176319517    | Whisper ₹50
BARCODE   | 8906069560528    | White Heart Chocolate
BARCODE   | 946456351245     | Xtra bar 300g
BARCODE   | 8908004918531    | Xtra surf 500g
BARCODE   | 8906056351245    | Xxx Bar 35/-
BARCODE   | 8906056351818    | XXX Matic Liquid 1L
BARCODE   | 8906056351115    | Xxx surf 10/-
BARCODE   | 8906056351092    | Xxx surf 1kg green
BARCODE   | 8906056351108    | Xxx surf 500g
BARCODE   | 8901725005856    | Yippee 5/-
BARCODE   | 8904471727492    | Yuthika Lemon Handwash
BARCODE   | 8904471721612    | Yuthika Neem ₹30
BARCODE   | 8904227300436    | Zed Black Agarbatti
BARCODE   | 8904227316239    | Zed Black Pineapple Agarbatti
BARCODE   | 8904013901052    | Zinda Tilismath 5ml
